iter	MAE
0	1.420575641
1	1.414347435
2	1.407913991
3	1.401737608
4	1.395485069
5	1.389347986
6	1.38328256
7	1.377095468
8	1.371462988
9	1.365859831
10	1.3597473
11	1.354226114
12	1.348838921
13	1.343182957
14	1.337549571
15	1.332082556
16	1.326827541
17	1.321571638
18	1.316164393
19	1.310735539
20	1.305631891
21	1.300516383
22	1.29559784
23	1.290769939
24	1.285932996
25	1.281079493
26	1.276442648
27	1.271852839
28	1.267290924
29	1.26270452
30	1.257825518
31	1.253611835
32	1.249420795
33	1.245391896
34	1.241141024
35	1.236724606
36	1.232572453
37	1.228530377
38	1.22431621
39	1.220357187
40	1.216366582
41	1.212180045
42	1.208041103
43	1.203966912
44	1.200332187
45	1.196648768
46	1.192798556
47	1.189367074
48	1.185679548
49	1.181951181
50	1.178443599
51	1.174774989
52	1.171238433
53	1.167971867
54	1.164424648
55	1.161058878
56	1.157817112
57	1.154571856
58	1.151135002
59	1.14757013
60	1.144626046
61	1.141438695
62	1.138271926
63	1.135128702
64	1.132026827
65	1.129148965
66	1.126323605
67	1.123433448
68	1.120461001
69	1.117461342
70	1.114338077
71	1.111565424
72	1.10871556
73	1.105795331
74	1.103078602
75	1.100206999
76	1.097614919
77	1.094795989
78	1.091581606
79	1.088973916
80	1.086285365
81	1.083582018
82	1.080950323
83	1.078416627
84	1.076070439
85	1.0736995
86	1.071110556
87	1.068749522
88	1.066237481
89	1.063936722
90	1.061458777
91	1.059187046
92	1.056975411
93	1.054714114
94	1.052601698
95	1.050331394
96	1.048234502
97	1.046224633
98	1.044180564
99	1.042299767
100	1.040536488
101	1.03854141
102	1.036772484
103	1.0348928
104	1.03297949
105	1.031217383
106	1.02935244
107	1.027323029
108	1.025540495
109	1.023699537
110	1.022156192
111	1.020322759
112	1.018669771
113	1.017202717
114	1.015798115
115	1.014301083
116	1.012816888
117	1.011362778
118	1.009713268
119	1.008230115
120	1.006739189
121	1.005468834
122	1.004055069
123	1.002645345
124	1.00123314
125	1.000016944
126	0.998653598
127	0.9971192449
128	0.9958073741
129	0.9944965631
130	0.9932149688
131	0.9918367411
132	0.9906559507
133	0.9894499574
134	0.9881162738
135	0.9869024122
136	0.9857774936
137	0.9846579368
138	0.9836469479
139	0.9824757274
140	0.9814468524
141	0.9804568117
142	0.9792804184
143	0.9782724399
144	0.9771693027
145	0.9761096321
146	0.9750569679
147	0.9740589692
148	0.9730668564
149	0.9719606326
150	0.9710885512
151	0.9699693361
152	0.9690249609
153	0.968091945
154	0.9671038414
155	0.9661760797
156	0.9652090272
157	0.9641543896
158	0.9632906124
159	0.9624139312
160	0.9615136352
161	0.9607784598
162	0.9600237519
163	0.9592674212
164	0.9584753526
165	0.9574752081
166	0.9566284081
167	0.9558128874
168	0.9549301827
169	0.954200276
170	0.9534092281
171	0.9525960349
172	0.9518186885
173	0.9510757834
174	0.950369463
175	0.9496959624
176	0.9489990289
177	0.948232952
178	0.9474926715
179	0.9466654415
180	0.9459306316
181	0.9452301979
182	0.9446883666
183	0.9438980531
184	0.9429989466
185	0.9422567268
186	0.941549678
187	0.940778134
188	0.940109811
189	0.9393937118
190	0.9387598062
191	0.9381472825
192	0.9374628503
193	0.9368025328
194	0.9360133111
195	0.9355209261
196	0.9348983773
197	0.9342251342
198	0.9336551546
199	0.9329938094
200	0.9323891992
201	0.9318421107
202	0.9313155096
203	0.9307725345
204	0.93020706
205	0.9295771093
206	0.9289691747
207	0.9284321484
208	0.9278831475
209	0.9273225127
210	0.9267659833
211	0.926307844
212	0.925853298
213	0.92530401
214	0.9248212855
215	0.9242610691
216	0.9237080029
217	0.9232056214
218	0.9226631847
219	0.9221579094
220	0.921700407
221	0.9211635224
222	0.9207170998
223	0.9201799309
224	0.9197314853
225	0.9192745574
226	0.9187548525
227	0.9182812212
228	0.9178610639
229	0.9174918005
230	0.9170634112
231	0.9166919255
232	0.9162434337
233	0.9158089464
234	0.9154458116
235	0.9148667654
236	0.9144285724
237	0.9140049846
238	0.9135859144
239	0.9132217083
240	0.9128438242
241	0.9125069757
