iter	Passed	Remaining
0	3	7713
1	6	6534
2	9	6069
3	11	5803
4	14	5646
5	16	5507
6	19	5410
7	21	5350
8	24	5310
9	26	5252
10	28	5217
11	31	5182
12	33	5147
13	36	5143
14	38	5128
15	41	5115
16	43	5089
17	46	5072
18	48	5064
19	50	5044
20	53	5030
21	55	5018
22	58	5006
23	60	4993
24	63	4982
25	65	4976
26	67	4965
27	70	4959
28	72	4955
29	75	4949
30	77	4941
31	80	4933
32	82	4926
33	85	4917
34	87	4911
35	89	4905
36	92	4898
37	94	4893
38	97	4886
39	99	4881
40	102	4876
41	104	4873
42	106	4869
43	109	4864
44	111	4858
45	114	4856
46	116	4854
47	119	4847
48	121	4845
49	124	4842
50	126	4837
51	129	4832
52	131	4825
53	133	4821
54	136	4816
55	138	4812
56	141	4807
57	143	4802
58	145	4798
59	148	4795
60	150	4789
61	153	4785
62	155	4783
63	158	4779
64	160	4775
65	163	4778
66	165	4780
67	168	4776
68	170	4772
69	173	4776
70	175	4773
71	178	4771
72	180	4768
73	183	4764
74	185	4762
75	188	4760
76	190	4757
77	192	4754
78	195	4753
79	197	4749
80	200	4747
81	202	4743
82	205	4740
83	207	4737
84	210	4732
85	212	4727
86	214	4726
87	217	4723
88	219	4719
89	222	4718
90	224	4714
91	227	4713
92	229	4709
93	232	4706
94	234	4702
95	236	4699
96	239	4696
97	241	4693
98	244	4689
99	246	4688
100	249	4686
101	251	4682
102	254	4680
103	256	4677
104	258	4673
105	261	4669
106	263	4666
107	266	4662
108	268	4658
109	271	4656
110	273	4652
111	275	4648
112	278	4645
113	280	4642
114	283	4639
115	285	4635
116	287	4633
117	290	4629
118	292	4627
119	295	4624
120	297	4621
121	300	4618
122	302	4614
123	304	4612
124	307	4608
125	309	4606
126	312	4603
127	314	4600
128	316	4596
129	319	4594
130	321	4592
131	324	4589
132	326	4585
133	329	4583
134	331	4580
135	334	4577
136	336	4576
137	338	4573
138	341	4575
139	344	4575
140	346	4573
141	349	4570
142	351	4567
143	354	4565
144	356	4565
